University name
"146","Adult and Continuing Education - Cleveland Extension"
"147","Adult Community Education Center"
"148","Adult Vocational Services"
"149","Advance Beauty College"
"150","Advance Beauty College"
"151","Advance Beauty College Hannibal"
"152","Advance Beauty Techs Academy"
"153","Advance English Academy"
"154","Advance Science Institute"
"155","Advance Tech College"
"156","Advance Welding Institute"
"157","Advanced Barber College and Hair Design"
"158","Advanced Beauty College"
"159","Advanced Beauty School of Cosmetology, Inc."
"160","Advanced Career Institute - Visalia"
"161","Advanced College"
"162","Advanced College of Cosmetology"
"163","Advanced Computing Institute"
"164","Advanced Technical Centers"
"165","Advanced Technology Institute"
"166","Advanced Training Associates"
"167","Advanced Training Institute"
"168","Advantage Career Institute"
"169","Adventist Healthcare"
"170","Adventist University of Health Sciences"
"171","Advocate Family Care Network"
"172","Advocate Health Care System"
"173","Advocate Illinois Masonic Medical Center"
"174","Advocate Kutsch College of Nursing"
"175","Advocate Trinity Hospital"
"176","Aerobics and Fitness Association of America (AFAA) Distance Education Center"
"177","Aerosim Flight Academy - Houston"
"178","Aerosim Flight Academy - Sanford"
"179","Aesthetics Institute of Cosmetology"
"180","AF International School of Languages, Inc"
"181","AF International School of Languages, Inc."
"182","Agape English Language Institute for Internationals"
"183","Age of Montessori"
"184","Age of Montessori"
"185","Agnes Scott College"
"186","Aguadilla Technological College"
"187","AHRC New York City"
"188","AIB College of Business"
"189","AIC College of Design"
"190","Aiken School of Cosmetology"
"191","Aiken Technical College"
"192","Ailano School of Cosmetology"
"193","AIMS Academy"
"194","Aims Academy - Grand Prairie"
"195","Aims Community College"
"196","Air Force Institute of Technology"
"197","Air University"
"198","Air University Extension Course Program"
"199","Airman's Proficiency Center"
"200","Airstreams Renewables, Inc."
"201","Akron Children's Hospital"
"202","Akron General Medical Center"
"203","Akron Machining Institute Inc"
"204","Akron School of Practical Nursing"
"205","AKS Massage School"
"206","Alabama A & M University"
"207","Alabama Aviation College"
"208","Alabama College of Osteopathic Medicine"
"209","Alabama School of Nail Technology & Cosmetology"
"210","Alabama Southern Community College"
"211","Alabama State College of Barber Styling"
"212","Alabama State Department of Education"
"213","Alabama State University"
"214","Aladdin Beauty College #20"
"215","Aladdin Beauty College #22"
"216","Alamance Community College"
"217","Alamance Regional Medical Center"
"218","Alamdea Adult School"
"219","Alameda Health System"
"220","Alamo City Barber College"
"221","Alaska Bible College"
"222","Alaska Career College"
"223","Alaska Christian College"
"224","Alaska Eye Care Centers Residency in Contact Lens and Primary Care"
"225","Alaska Pacific University"
"226","Alaska VA Healthcare System"
"227","Albany College of Pharmacy"
"228","Albany Law School"
"229","Albany Medical College"
"230","Albany State University"
"231","Albany Stratton VA Medical Center"
"232","Albany Technical College"
"233","Albert Career School"
"234","Albert Einstein College of Medicine - Bronx Psychiatric Center"
"235","Albert Einstein College of Medicine - Montefiore Medical Center"
"236","Albert Einstein College of Medicine, Montefiore Medical Center Psychology Internship"
"237","Albert Einstein Medical Center"
"238","Albert Einstein Medical Center Dental General Practice Residency 12 Months"
"239","Albertus Magnus College"
"240","Albion College"
"241","Albright College"
"242","Albuquerque Barber College"
"243","Albuquerque Job Corps Center"
"244","Albuquerque Public Schools"
"245","Alcorn State University"
"246","Alden's School of Cosmetology"
"247","Alderson Broaddus University"
"248","Alegent Health School of Medical Assisting"
"249","Alexander Academy, Inc."
"250","Alexander Paul Institute of Hair Design"
"251","Alexandria Academy of Beauty Culture"
"252","Alexandria School of Scientific Therapeutics"
"253","Alexandria Technical College"
"254","Alexian Brothers Health System"
"255","Alfred I. duPont Hospital for Children"
"256","Alfred State College"
"257","Alfred University"
"258","Alhambra Adult Education"
"259","Alhambra Beauty College"
"260","Alhambra Medical University"
"261","Alice Lloyd College"
"262","All American Barber Academy L.P"
"263","All American Career College"
"264","All Beauty College"
"265","All Saints Bible College"
"266","All State Career School"
"267","All-State Career School"
"268","All-State Career School"
"269","All-State Career School"
